vector,alpha,layer,country,translated,local_ans_steer,local_ans_no_steer,local_ans_hinted
per-culture (en),2,21,Bangladesh,False,0.7698961937716263,0.5432525951557093,0.9550173010380623
per-culture (en),2,21,Bangladesh,True,0.7387543252595156,0.6280276816608996,0.8944636678200693
per-culture (en),1,25,France,False,0.6931034482758621,0.5241379310344828,0.8982758620689655
per-culture (en),2,21,France,True,0.6120689655172413,0.5465517241379311,0.8844827586206897
per-culture (en),2,25,Russia,False,0.872072072072072,0.4972972972972973,0.9261261261261261
per-culture (en),2,25,Russia,True,0.7927927927927928,0.5315315315315315,0.8774774774774775
per-culture (en),2,24,Turkey,False,0.8,0.5485714285714286,0.9442857142857143
per-culture (en),2,21,Turkey,True,0.7628571428571429,0.5585714285714286,0.9185714285714286
per-culture (en),2,22,United States,True,0.6950904392764858,0.5236864771748493,0.8828596037898363
universal (en),2,27,Bangladesh,False,0.7629757785467128,0.5432525951557093,0.9550173010380623
universal (en),2,21,Bangladesh,True,0.7006920415224913,0.6280276816608996,0.8944636678200693
universal (en),2,27,France,False,0.6827586206896552,0.5241379310344828,0.8982758620689655
universal (en),2,21,France,True,0.6017241379310345,0.5465517241379311,0.8844827586206897
universal (en),2,27,Russia,False,0.7783783783783784,0.4972972972972973,0.9261261261261261
universal (en),2,27,Russia,True,0.7333333333333333,0.5315315315315315,0.8774774774774775
universal (en),2,27,Turkey,False,0.7385714285714285,0.5485714285714286,0.9442857142857143
universal (en),2,21,Turkey,True,0.7085714285714285,0.5585714285714286,0.9185714285714286
universal (en),-2,27,United States,True,0.6554694229112834,0.5236864771748493,0.8828596037898363
held-out universal (en),2,27,Bangladesh,False,0.726643598615917,0.5432525951557093,0.9550173010380623
held-out universal (en),2,21,Bangladesh,True,0.6955017301038062,0.6280276816608996,0.8944636678200693
held-out universal (en),2,27,France,False,0.6603448275862069,0.5241379310344828,0.8982758620689655
held-out universal (en),1,25,France,True,0.6,0.5465517241379311,0.8844827586206897
held-out universal (en),2,27,Russia,False,0.7333333333333333,0.4972972972972973,0.9261261261261261
held-out universal (en),2,27,Russia,True,0.7081081081081081,0.5315315315315315,0.8774774774774775
held-out universal (en),2,27,Turkey,False,0.7142857142857143,0.5485714285714286,0.9442857142857143
held-out universal (en),2,21,Turkey,True,0.6928571428571428,0.5585714285714286,0.9185714285714286
held-out universal (en),-2,23,United States,True,0.6511627906976745,0.5236864771748493,0.8828596037898363
names (en),2,21,Bangladesh,False,0.8633217993079585,0.5432525951557093,0.9550173010380623
names (en),1,21,Bangladesh,True,0.7422145328719724,0.6280276816608996,0.8944636678200693
names (en),2,24,France,False,0.7293103448275862,0.5241379310344828,0.8982758620689655
names (en),2,21,France,True,0.6620689655172414,0.5465517241379311,0.8844827586206897
names (en),2,25,Russia,False,0.8576576576576577,0.4972972972972973,0.9261261261261261
names (en),2,21,Russia,True,0.8018018018018018,0.5315315315315315,0.8774774774774775
names (en),2,25,Turkey,False,0.8128571428571428,0.5485714285714286,0.9442857142857143
names (en),2,21,Turkey,True,0.7828571428571428,0.5585714285714286,0.9185714285714286
names (en),2,22,United States,True,0.7200689061154177,0.5236864771748493,0.8828596037898363
per-culture (translated),1,25,Bangladesh,False,0.6522491349480969,0.5432525951557093,0.9550173010380623
per-culture (translated),2,25,Bangladesh,True,0.7889273356401384,0.6280276816608996,0.8944636678200693
per-culture (translated),2,25,France,False,0.7103448275862069,0.5241379310344828,0.8982758620689655
per-culture (translated),2,25,France,True,0.6482758620689655,0.5465517241379311,0.8844827586206897
per-culture (translated),2,27,Russia,False,0.7639639639639639,0.4972972972972973,0.9261261261261261
per-culture (translated),2,27,Russia,True,0.7549549549549549,0.5315315315315315,0.8774774774774775
per-culture (translated),2,25,Turkey,False,0.6657142857142857,0.5485714285714286,0.9442857142857143
per-culture (translated),2,25,Turkey,True,0.7042857142857143,0.5585714285714286,0.9185714285714286
per-culture (translated),2,22,United States,True,0.6950904392764858,0.5236864771748493,0.8828596037898363
universal (translated),2,27,Bangladesh,False,0.6314878892733564,0.5432525951557093,0.9550173010380623
universal (translated),2,21,Bangladesh,True,0.698961937716263,0.6280276816608996,0.8944636678200693
universal (translated),2,25,France,False,0.5758620689655173,0.5241379310344828,0.8982758620689655
universal (translated),2,27,France,True,0.603448275862069,0.5465517241379311,0.8844827586206897
universal (translated),2,27,Russia,False,0.6198198198198198,0.4972972972972973,0.9261261261261261
universal (translated),2,25,Russia,True,0.7189189189189189,0.5315315315315315,0.8774774774774775
universal (translated),2,27,Turkey,False,0.6414285714285715,0.5485714285714286,0.9442857142857143
universal (translated),2,27,Turkey,True,0.68,0.5585714285714286,0.9185714285714286
universal (translated),-2,21,United States,True,0.590869939707149,0.5236864771748493,0.8828596037898363
held-out universal (translated),2,27,Bangladesh,False,0.6089965397923875,0.5432525951557093,0.9550173010380623
held-out universal (translated),2,21,Bangladesh,True,0.6920415224913494,0.6280276816608996,0.8944636678200693
held-out universal (translated),2,25,France,False,0.5551724137931034,0.5241379310344828,0.8982758620689655
held-out universal (translated),2,25,France,True,0.5862068965517241,0.5465517241379311,0.8844827586206897
held-out universal (translated),2,27,Russia,False,0.5567567567567567,0.4972972972972973,0.9261261261261261
held-out universal (translated),2,25,Russia,True,0.69009009009009,0.5315315315315315,0.8774774774774775
held-out universal (translated),2,27,Turkey,False,0.6342857142857142,0.5485714285714286,0.9442857142857143
held-out universal (translated),2,27,Turkey,True,0.68,0.5585714285714286,0.9185714285714286
held-out universal (translated),-2,21,United States,True,0.6098191214470284,0.5236864771748493,0.8828596037898363
